school,address,latitude,longitude,postal_code
Maris Stella High School (Primary Section),25 Mount Vernon Road,1.341398224,103.8777694,368051
Marsiling Primary School,31 Woodlands Centre Road,1.43383904,103.773643,738927
Marymount Convent School,20 Marymount Road,1.340438407,103.8398117,297754
Mayflower Primary School,200 Ang Mo Kio Avenue 5,1.376376835,103.8432528,569878
Mee Toh School,21 Edgedale Plains,1.394853561,103.9085726,828867
Meridian Primary School,20 Pasir Ris St 71,1.375506771,103.9349533,518798
Methodist Girls' School (Primary),11 Blackmore Drive,1.332662136,103.7833821,599986
Montfort Junior School,52 Hougang Avenue 8,1.373624452,103.8897415,538786
Nan Chiau Primary School,50 Anchorvale Link,1.392211499,103.8911809,545080
Nan Hua Primary School,30 Jalan Lempeng,1.3192016,103.7610951,128806
Nanyang Primary School,52 King's Road,1.321070942,103.8076819,268097
Naval Base Primary School,7 Yishun Ave 4,1.415901957,103.8391006,769028
New Town Primary School,300 Tanglin Halt Road,1.299811389,103.7999648,148812
Ngee Ann Primary School,344 Marine Terrace,1.305532242,103.91757,449149
North Spring Primary School,1 Rivervale Street,1.387061465,103.9032027,545088
North View Primary School,210 Yishun Avenue 6,1.427451595,103.8483784,768960
North Vista Primary School,20 Compassvale Link,1.382550662,103.8962646,544974
Northland Primary School,15 Yishun Avenue 4,1.421304042,103.8407929,769026
Northoaks Primary School,61 Sembawang Drive,1.457328673,103.8140756,757622
Northshore Primary School,30 Northshore Drive,1.418423221,103.9051472,828671
Oasis Primary School,71 Edgefield Plains,1.405071848,103.9112002,828716
Opera Estate Primary School,48 Fidelio Street,1.319968764,103.9237527,458436
Palm View Primary School,150 Compassvale Bow,1.38376923,103.8913547,544822
Park View Primary School,60 Pasir Ris Drive 1,1.378016876,103.9392022,519524
Pasir Ris Primary School,5 Pasir Ris Street 21,1.372451327,103.9629227,518968
Paya Lebar Methodist Girls' School (Primary),298 Lorong Ah Soo,1.35025456,103.8848469,536741
Pei Chun Public School,16 Lorong 7 Toa Payoh,1.336778644,103.8553413,319320
Pei Hwa Presbyterian Primary School,7 Pei Wah Avenue,1.338073021,103.7762509,597610
Pei Tong Primary School,15 Clementi Avenue 5,1.316665293,103.767439,129857
Peiying Primary School,651 Yishun Ring Road,1.417416276,103.8301432,768687
Pioneer Primary School,31 Jurong West Street 91,1.338876371,103.6878895,649037
Poi Ching School,21 Tampines Street 71,1.357651219,103.9352465,529067
Princess Elizabeth Primary School,30 Bukit Batok West Avenue 3,1.349190989,103.7407192,659163
Punggol Cove Primary School,52 Sumang Walk,1.411584556,103.8989045,828674
Punggol Green Primary School,98 Punggol Walk,1.401725905,103.8987943,828772
Punggol Primary School,61 Hougang Avenue 8,1.378200625,103.8946672,538787
Punggol View Primary School,9 Punggol Place,1.405052502,103.905299,828845
Qifa Primary School,50 West Coast Avenue,1.313265833,103.7566291,128104
Qihua Primary School,5 Woodlands Street 81,1.442035966,103.7883398,738525
Queenstown Primary School,310 Margaret Dr,1.295529056,103.8076485,149303
Radin Mas Primary School,1 Bukit Purmei Avenue,1.274897015,103.8241158,099840
Raffles Girls' Primary School,21 Hillcrest Road,1.330041781,103.8063978,289072
Red Swastika School,350 Bedok North Avenue 3,1.334056596,103.9343175,469719
River Valley Primary School,2 River Valley Green,1.294183478,103.8360189,237993
Riverside Primary School,110 Woodlands Crescent,1.447004265,103.801889,737803
Rivervale Primary School,80 Rivervale Drive,1.393335063,103.9045453,545092
Rosyth School,21 Serangoon North Avenue 4,1.372858365,103.8747717,555855
Rulang Primary School,6 Jurong West Street 52,1.346738689,103.718458,649295
Sembawang Primary School,10 Sembawang Drive,1.44574531,103.8211527,757715
Seng Kang Primary School,21 Compassvale Walk,1.389250448,103.8995279,545166
Sengkang Green Primary School,15 Fernvale Road,1.392540093,103.8749849,797636
Shuqun Primary School,8 Jurong West Street 51,1.346869673,103.7215594,649332
Si Ling Primary School,61 Woodlands Avenue 1,1.432409357,103.7860351,739067
Singapore Chinese Girls' Primary School,190 Dunearn Road,1.320634084,103.828165,309437
South View Primary School,6 Choa Chu Kang Central,1.38143124,103.7471537,689762
Springdale Primary School,71 Anchorvale Link,1.395285445,103.8894164,544799
St. Andrew's Junior School,2 Francis Thomas Drive,1.331402553,103.8651171,359337
St. Anthony's Canossian Primary School,1602 Bedok North Ave 4,1.334725373,103.9412349,469701
St. Anthony's Primary School,30 Bukit Batok St 32,1.364119485,103.7492519,659401
St. Gabriel's Primary School,220 Lorong Chuan,1.349307668,103.8623099,556742
St. Hilda's Primary School,2 Tampines Ave 3,1.34967979,103.9370164,529706
St. Joseph's Institution Junior,3 Essex Road,1.317814761,103.8456333,309331
St. Margaret's School (Primary),136 Sophia Road,1.304144074,103.8458203,228197
St. Stephen's School,20 Siglap View,1.318789973,103.9172581,455789
Tampines North Primary School,30 Tampines Avenue 9,1.36048786,103.9487689,529565
Tampines Primary School,250 Tampines Street 12,1.350486395,103.9435731,529426
Tanjong Katong Primary School,10 Seraya Road,1.30498489,103.9,437259
Tao Nan School,49 Marine Crescent,1.305285287,103.9115532,449761
Teck Ghee Primary School,1 Ang Mo Kio Street 32,1.365650185,103.8510098,569299
Teck Whye Primary School,11 Teck Whye Walk,1.383886605,103.7539246,688261
Telok Kurau Primary School,50 Bedok Reservoir Rd,1.33109611,103.9110053,479239
Temasek Primary School,501 Bedok South Ave 3,1.317203417,103.9457594,469300
Townsville Primary School,3 Ang Mo Kio Ave 10,1.359946495,103.853769,569730
Unity Primary School,21 Choa Chu Kang Crescent,1.402783032,103.7468012,688268
Valour Primary School,49 Punggol Central,1.407441682,103.8987622,828728
Waterway Primary School,70 Punggol Drive,1.398892612,103.9185859,828802
Wellington Primary School,10 Wellington Circle,1.451685176,103.8225162,757702
West Grove Primary School,1 Jurong West St 72,1.348340354,103.6980674,649223
West Spring Primary School,60 Bukit Panjang Ring Road,1.389179718,103.7663977,679946
West View Primary School,31 Senja Road,1.383785465,103.7602734,677742
Westwood Primary School,1 Jurong West Street 73,1.347710965,103.7004675,649188
White Sands Primary School,2 Pasir Ris St 11,1.3654653,103.9610702,519075
Woodgrove Primary School,2 Woodlands Drive 14,1.432736207,103.7902303,738079
Woodlands Primary School,10 Woodlands Drive 50,1.436582707,103.7917913,738853
Woodlands Ring Primary School,11 Woodlands Ring Road,1.434851794,103.7974143,738240
Xinghua Primary School,45 Hougang Avenue 1,1.357996538,103.8902164,538882
Xingnan Primary School,5 Jurong West Street 91,1.342706397,103.6875885,649036
Xinmin Primary School,9 Hougang Avenue 8,1.371767983,103.8828099,538784
Xishan Primary School,8 Yishun Street 21,1.433471869,103.8377553,768611
Yangzheng Primary School,15 Serangoon Avenue 3,1.348976808,103.8684671,556108
Yew Tee Primary School,10 Choa Chu Kang St 64,1.396726035,103.751818,689100
Yio Chu Kang Primary School,1 Hougang Street 51,1.377932643,103.8856437,538720
Yishun Primary School,500 Yishun Ring Road,1.433976173,103.8340508,768679
Yu Neng Primary School,56 Bedok North St 3,1.333980379,103.932015,469623
Yuhua Primary School,158 Jurong East Street 24,1.342919816,103.7408611,609558
Yumin Primary School,3 Tampines Street 21,1.351315699,103.9505511,529393
Zhangde Primary School,51 Jalan Membina,1.284211539,103.8259519,169485
Zhenghua Primary School,9 Fajar Road,1.379428736,103.7697032,679002
Zhonghua Primary School,12 Serangoon Avenue 4,1.360260725,103.8697125,556095
