,hc_name,longitude,latitude
79,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),103.885977616903,1.35911942212642
80,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),103.88394058022,1.30241881353449
81,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),103.826013285715,1.28000481198881
82,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),103.808127999318,1.28695275198944
83,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),103.839945947186,1.28823055540002
84,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),103.731579747132,1.34531247026793
85,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),103.737781231485,1.34344213770991
86,Jurong West Hawker Centre,103.697404254467,1.3412597060095
87,Jurong West Street 52 Blk 505,103.71844754363,1.34964224318434
88,Kallang Estate Fresh Market and Food Centre,103.884130183315,1.30739616009942
89,Redhill Lane Blk 85 (Redhill Food Centre),103.818338919994,1.28733076703987
90,Kampung Admiralty Hawker Centre,103.800696448529,1.43993283228134
91,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),103.906338526157,1.30228513841822
92,Marine Terrace Blk 50A (50A Marine Terrace),103.915761950557,1.30577514781108
93,Marsiling Lane Blk 20/21,103.777203165702,1.44388181695611
94,Maxwell Food Centre (Kim Hua Market),103.844827863123,1.28011223513205
95,Mei Chin Road Blk 159 (Mei Chin Road Market),103.802903901116,1.29323622090658
96,New Market Road Blk 32 (People's Park Food Centre),103.842578750107,1.28499102169498
97,New Upper Changi Road Blk 208B,103.93056047823,1.32473884451035
98,New Upper Changi Road Blk 58,103.941132372619,1.32418782817919
99,Newton Food Centre,103.839562687644,1.31189235691653
100,North Bridge Road Market,103.863891012338,1.30576537802761
101,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),103.885833217727,1.30825156309798
102,Pasir Panjang Food Centre,103.791402660553,1.27590752450201
103,Pasir Ris Central Hawker Centre,103.951543034782,1.37343413973246
104,Queen Street Blk 270 (Albert Centre),103.854211645499,1.30100146521405
105,Redhill Lane Blk 79 (Redhill Market),103.818402623449,1.2878581025663
106,Sembawang Hills Food Centre (Jalan Leban Food Centre),103.828994204342,1.37238494002145
107,Serangoon Garden Market,103.866737484646,1.3631571201113
108,Telok Blangah Drive Blk 82 (Telok Blangah Market),103.807943567416,1.27391379857001
109,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),103.82211725658,1.27271579716508
110,Tiong Bahru Market,103.832348785334,1.28508825756819
111,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),103.84473162196,1.33809268551386
112,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),103.851999137527,1.33454816495637
113,Toa Payoh Lorong 4 Blk 93,103.849513484035,1.3384747524617
114,Toa Payoh Lorong 5 Blk 75,103.852941556275,1.33603882157063
115,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),103.857036007166,1.33523145909678
116,Toa Payoh Lorong 8 Blk 210,103.854395279214,1.3402608349586
117,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),103.871620273635,1.31502804429519
118,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),103.845818885585,1.28524640047048
119,West Coast Drive Blk 502 (Ayer Rajah Market),103.759166093858,1.31188972115897
120,West Coast Drive Blk 503 (Ayer Rajah Food Centre),103.759751321019,1.31180301004196
121,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),103.855137696535,1.32294306204189
122,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),103.85406806286,1.32342175143826
123,Yishun Park Hawker Centre,103.844747581861,1.42501763803265
124,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),103.828537609942,1.43144768831222
